AREA,YEAR,GRANULE_MEAN_AOT
48PUR,2019,
48PUR,2020,
48PUR,2021,
48PUR,2022,0.23073614634146342
48PUR,2023,0.2702787924528302
48PUR,2024,0.22826522413793104
48PUS,2019,
48PUS,2020,
48PUS,2021,
48PUS,2022,0.1835588
48PUS,2023,0.21319670370370372
48PUS,2024,0.20347196666666667
48PVQ,2019,
48PVQ,2020,
48PVQ,2021,
48PVQ,2022,0.23566133333333333
48PVQ,2023,0.26698384375
48PVQ,2024,0.20864473076923076
48PVR,2019,
48PVR,2020,
48PVR,2021,
48PVR,2022,0.25085064705882354
48PVR,2023,0.298715935483871
48PVR,2024,0.2367415625
48PVS,2019,
48PVS,2020,
48PVS,2021,
48PVS,2022,0.29038452
48PVS,2023,0.30657634210526313
48PVS,2024,0.2928879166666667
48PVT,2019,
48PVT,2020,
48PVT,2021,
48PVT,2022,0.32010916666666667
48PVT,2023,0.3199672162162162
48PVT,2024,0.318614125
48PWQ,2019,
48PWQ,2020,
48PWQ,2021,
48PWQ,2022,0.22899319047619046
48PWQ,2023,0.26629332142857143
48PWQ,2024,0.210458625
48PWR,2019,
48PWR,2020,
48PWR,2021,
48PWR,2022,0.2917032
48PWR,2023,0.25681028
48PWR,2024,0.2805884090909091
48PWS,2019,
48PWS,2020,
48PWS,2021,
48PWS,2022,0.28784661904761905
48PWS,2023,0.26453058333333335
48PWS,2024,0.2967867307692308
48PWT,2019,
48PWT,2020,
48PWT,2021,
48PWT,2022,0.27913925
48PWT,2023,0.31446666666666667
48PWT,2024,0.3247652121212121
48PXR,2019,
48PXR,2020,
48PXR,2021,
48PXR,2022,0.2339074705882353
48PXR,2023,0.2359194107142857
48PXR,2024,0.217128813559322
48PXS,2019,
48PXS,2020,
48PXS,2021,
48PXS,2022,0.2697056
48PXS,2023,0.295248431372549
48PXS,2024,0.27669308163265305
48PXT,2019,
48PXT,2020,
48PXT,2021,
48PXT,2022,0.19555743333333334
48PXT,2023,0.1961649166666667
48PXT,2024,0.24916388235294118
