AREA,YEAR,MEAN_SOLAR_ZENITH_ANGLE
48PUR,2019,29.448532221568634
48PUR,2020,28.735400994975226
48PUR,2021,28.750554142956723
48PUR,2022,30.164282501808366
48PUR,2023,27.0438792174379
48PUR,2024,28.007344720014455
48PUS,2019,30.16914103691018
48PUS,2020,28.966249536865842
48PUS,2021,29.555287487203795
48PUS,2022,30.212050915891137
48PUS,2023,29.11486679792679
48PUS,2024,29.762049090635802
48PVQ,2019,27.88159621035006
48PVQ,2020,28.90472305506298
48PVQ,2021,28.58940377848098
48PVQ,2022,29.238267979915523
48PVQ,2023,27.968989316978615
48PVQ,2024,27.814435910392685
48PVR,2019,28.63753740308889
48PVR,2020,29.705978007939372
48PVR,2021,28.680350568110043
48PVR,2022,29.61743392802012
48PVR,2023,28.697551596469808
48PVR,2024,28.04609789606991
48PVS,2019,28.723479529789167
48PVS,2020,29.414630309219763
48PVS,2021,28.464259708078657
48PVS,2022,29.622798460308786
48PVS,2023,29.102671396882915
48PVS,2024,28.791042919458953
48PVT,2019,29.299538619737923
48PVT,2020,29.190384450948375
48PVT,2021,29.329179077134963
48PVT,2022,28.487650324550366
48PVT,2023,28.236567665969982
48PVT,2024,28.172901862772367
48PWQ,2019,26.844495989676552
48PWQ,2020,28.54542418943866
48PWQ,2021,26.586804347628334
48PWQ,2022,28.315966864219945
48PWQ,2023,26.2847412518085
48PWQ,2024,26.509472931781474
48PWR,2019,26.99117215522258
48PWR,2020,28.276807113539128
48PWR,2021,27.327939335071942
48PWR,2022,28.58573350153251
48PWR,2023,27.028745596890168
48PWR,2024,28.483337403804452
48PWS,2019,28.056907417541026
48PWS,2020,28.283455204029394
48PWS,2021,27.870915777174698
48PWS,2022,29.594686654216478
48PWS,2023,28.296600540151555
48PWS,2024,27.98850321210365
48PWT,2019,28.533136153634864
48PWT,2020,29.0609762769295
48PWT,2021,26.61935595320292
48PWT,2022,29.38066401758783
48PWT,2023,28.271837440092515
48PWT,2024,28.117262576247686
48PXR,2019,28.176436751012503
48PXR,2020,28.777756114685324
48PXR,2021,28.31291917983918
48PXR,2022,28.914577758469044
48PXR,2023,27.85323255293478
48PXR,2024,27.479545857171882
48PXS,2019,28.652941196989854
48PXS,2020,28.63110740397196
48PXS,2021,29.172446207300062
48PXS,2022,30.62547532203016
48PXS,2023,28.552085331417317
48PXS,2024,28.247800242236476
48PXT,2019,27.562343368642107
48PXT,2020,28.112720900396507
48PXT,2021,28.602178260747106
48PXT,2022,27.747544357862406
48PXT,2023,28.1588262254948
48PXT,2024,27.842068651378522
