image_date,minx,miny,maxx,maxy,MEAN_SOLAR_ZENITH_ANGLE,CLOUDY_PIXEL_PERCENTAGE,AREA,VEGETATION_PERCENTAGE,THIN_CIRRUS_PERCENTAGE
2019-01-06_03-35-34,103.5894733075188,8.955685223317774,104.17939001101288,9.950485440491155,39.5972918086,0.034456,48PUR,0.051673,0.0
2019-01-13_03-25-30,106.11266885327368,8.95345441203216,106.9135690759481,9.94887166968302,39.1230103629,0.059224,48PXR,7.601288,0.014199
2019-01-06_03-34-59,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,40.163948526,0.229114,48PWT,66.735429,0.0
2019-01-06_03-34-55,105.91454112647963,10.762250728439865,106.92510452852471,11.758657843410626,39.6891339559,0.294384,48PXT,76.144463,0.0
2019-01-14_03-45-27,103.17560623948354,8.953902438142253,104.03491480103465,9.950105325187794,37.7251466043,0.499485,48PUR,0.174411,0.0
2019-01-13_03-25-15,106.30586940942646,9.857075849513782,106.9190801917226,10.851794912161768,39.8780017937,1.021568,48PXS,47.204593,0.007134
2019-01-24_03-45-27,103.17560615147838,8.953902438142253,104.03473285290148,9.950104771845751,36.5598893301,1.209488,48PUR,0.150968,0.047232
2019-01-06_03-35-10,105.91193437545276,9.85902562597851,106.75850286233327,10.854211396475144,38.8914824954,1.753549,48PXS,75.331354,0.45546
2019-01-06_03-35-31,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,39.0862143119,2.369972,48PVR,10.728034,0.000166
2019-01-06_03-35-13,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,39.3728311502,2.419413,48PWS,76.939338,0.0
2019-01-06_03-35-16,104.08464228812768,9.861265852254354,105.08920676455372,10.85557033221313,39.8658928297,2.547676,48PVS,36.330587,0.0
2019-01-24_03-45-13,103.17035103578527,9.85756950139428,104.17545456841124,10.854464395757088,37.3131678394,4.21302,48PUS,17.401354,0.401988
2019-01-06_03-35-20,103.78877369991824,9.860326283733562,104.17725512940856,10.854464395757088,40.3697976811,4.339842,48PUS,27.58241,0.0
2019-01-06_03-35-02,104.08346656411652,10.76577099881297,105.08948704583928,11.760133224332012,40.6502769899,4.792753,48PVT,46.540064,0.000379
2019-01-29_03-45-17,103.17035112378667,9.85756950139428,104.17545696252331,10.854464395757088,36.4982679246,5.2489,48PUS,15.904883,0.635512
2019-01-14_03-45-12,103.17035103578527,9.85756950139428,104.17545119892024,10.854464395757088,38.5040756243,9.16872,48PUS,11.262766,0.000278
2019-01-06_03-35-28,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,38.5861424957,10.046656,48PWR,40.5835,0.0
2019-01-06_03-35-24,105.90956803063008,8.956003993275843,106.55138196545924,9.950254000246078,38.0979736296,10.384824,48PXR,28.229439,0.0
2019-01-31_03-35-41,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,35.1513465179,11.168218,48PWQ,2.577208,2.952747
2019-01-21_03-35-11,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,38.138000394,12.557716,48PWS,68.210483,6.045182
2019-01-11_03-35-17,103.79150530610644,9.860335326381614,104.17725512940856,10.854464395757088,40.150866603,13.284651,48PUS,24.48418,6.018317
2019-01-06_03-35-42,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,37.8031936448,14.120272,48PWQ,1.997896,0.0
2019-01-31_03-35-44,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,35.7537264534,15.513542,48PVQ,3.141821,8.010936
2019-01-11_03-34-52,105.91454112647963,10.762250763193055,106.92510452852471,11.758657843410626,39.4118030537,16.995956,48PXT,57.12716,8.755573
2019-01-16_03-34-56,105.91454112647963,10.7622517546646,106.92510452852471,11.758657843410626,38.9594107849,17.816045,48PXT,57.781243,8.883198
2019-01-21_03-35-15,104.08464228812768,9.861265852254354,105.08920676455372,10.85557033221313,38.6830507513,18.752217,48PVS,26.967889,15.246074
2019-01-31_03-35-32,103.59329283330948,8.955700720362994,104.17938983366636,9.950485237113282,37.0620503832,18.846343,48PUR,0.033199,10.248786
2019-01-11_03-34-59,104.08357600138228,10.76577099881297,105.08948704583928,11.760133223805877,40.4052281829,18.87178,48PVT,34.539786,10.462702
2019-01-31_03-35-26,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,35.8652857023,22.050926,48PWR,26.69678,12.153216
2019-01-06_03-35-46,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,38.3105697038,23.746742,48PVQ,3.383536,0.000182
2019-01-29_03-45-31,103.17560615147838,8.953902438142253,104.03546179843394,9.950106908859256,35.760130793,25.991909,48PUR,0.090672,7.613591
2019-01-21_03-35-00,104.08355553173335,10.76577099881297,105.08948704583928,11.760133249824438,39.4330759918,28.083391,48PVT,18.458398,7.072818
2019-01-28_03-25-28,106.11094321675915,8.953454850958392,106.91356853559611,9.948858395471795,37.4070018208,28.915431,48PXR,1.856862,4.943051
2019-01-11_03-35-31,103.59219605472258,8.955697215748627,104.17938983366636,9.950485237113282,39.3890600764,29.275242,48PUR,0.045309,18.306173
2019-01-19_03-45-16,103.17035103578527,9.85756950139428,104.17545022354128,10.854464395757088,37.9739206236,31.165019,48PUS,14.805646,30.962583
2019-01-16_03-35-11,105.91193437545276,9.859026446054784,106.75849089273092,10.854211396475144,38.1821197979,33.260892,48PXS,45.082518,16.592816
2019-01-21_03-35-08,105.91193437545276,9.85901972290457,106.75941732385402,10.854211396475144,37.604010289,35.290972,48PXS,40.013155,16.237044
2019-01-16_03-35-00,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,39.4674651954,35.59536,48PWT,20.702399,4.00005
2019-01-21_03-34-57,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,38.8955616702,35.848591,48PWT,28.208211,9.341744
2019-01-11_03-35-14,104.08464228812768,9.861265852254354,105.08920676455372,10.85557033221313,39.6309649402,35.949718,48PVS,28.165779,19.466853
2019-01-31_03-34-57,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,37.313624661,38.632949,48PWT,29.192403,23.758581
2019-01-31_03-35-23,105.90956829950066,8.955994323357869,106.55292125594606,9.950253775617009,35.2824372097,38.82765,48PXR,12.767673,19.327502
2019-01-31_03-35-01,104.08358964781654,10.765771015142654,105.08948704583928,11.760133229626987,37.8903794467,41.700136,48PVT,19.394374,28.353444
2019-01-11_03-34-56,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,39.9028678414,43.751686,48PWT,31.412351,28.970584
2019-01-11_03-35-22,105.90956829950066,8.956001939322638,106.5519181084259,9.950253775617009,37.8403267224,43.765204,48PXR,13.961788,34.310445
2019-01-26_03-35-36,103.59001470926492,8.9556875895239,104.17938983366636,9.950485215661471,37.8366966771,44.319412,48PUR,0.03514,38.441756
2019-01-31_03-35-30,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,36.4588355982,44.825697,48PVR,8.631046,26.096708
2019-01-21_03-34-53,105.91454112647963,10.762245572763248,106.92510452852471,11.758657843410626,38.368976016,46.047761,48PXT,36.073279,35.567406
2019-01-21_03-35-26,104.99972617172784,8.9570263808174,106.00139103412452,9.951498048371398,37.3862079355,46.424923,48PWR,29.297829,31.543642
2019-01-21_03-35-18,103.79205442823648,9.860337280429322,104.17725512940856,10.854464395757088,39.2382161868,46.738236,48PUS,12.863654,24.224176
2019-01-31_03-35-12,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,36.5859291398,46.964997,48PWS,40.333295,24.707539
2019-01-26_03-35-22,103.789322810921,9.860328749149875,104.17725512940856,10.854464395757088,38.5575868189,48.009909,48PUS,12.767206,41.617158
2019-01-31_03-35-18,103.79315064539928,9.860341914861458,104.17725512940856,10.854464395757088,37.7655795313,48.493704,48PUS,17.562602,38.360015
2019-02-25_03-34-56,105.91454112647963,10.762213779514868,106.92510452852471,11.758657843410626,30.7959738829,0.261313,48PXT,68.835443,0.032617
2019-02-15_03-35-11,105.91193437545276,9.859003246960487,106.76316673633124,10.854211396475144,32.7424021599,0.310639,48PXS,74.616587,0.000307
2019-02-15_03-35-15,104.99972536932816,9.861014510703738,106.00427689411958,10.855571229031138,33.3840016237,0.351508,48PWS,75.553083,0.0
2019-02-28_03-45-29,103.17560615147838,8.953902438142253,104.04284926371484,9.950128163721098,28.9357160625,0.425822,48PUR,0.172871,0.109829
2019-02-15_03-34-57,105.91454112647963,10.762225109284005,106.92510452852471,11.758657843410626,33.4206121877,0.900826,48PXT,70.634121,0.000795
2019-02-15_03-35-00,104.99972447777296,10.765496068187831,106.00743126841935,11.760133988205896,34.0525905535,1.971732,48PWT,41.961658,0.000365
2019-02-10_03-34-54,105.91454112647963,10.762233269090782,106.92510452852471,11.758657843410626,34.6358113899,2.388121,48PXT,69.356936,0.000111
2019-02-15_03-35-18,104.08464228812768,9.861265852254354,105.08920676455372,10.855570332213132,34.0354359303,2.659975,48PVS,27.938142,0.000139
2019-02-15_03-35-26,105.90956829950066,8.955985781648616,106.5562955058608,9.950253775617009,32.0740659507,3.638259,48PXR,34.982893,0.0
2019-02-15_03-35-04,104.08362376390797,10.76577099881297,105.08948704583928,11.76013322739928,34.6944688016,3.867245,48PVT,25.694078,0.192023
2019-02-20_03-35-32,103.596564681942,8.955713151225615,104.17938983366636,9.950485237113282,32.9055824556,3.901754,48PUR,0.04666,0.0
2019-02-15_03-35-47,104.08966492388936,8.052655568438503,105.0887172101058,9.04683266589854,32.7483801177,4.156244,48PVQ,4.295317,0.0
2019-02-27_03-25-11,106.3146232050994,9.857075849513782,106.9190801917226,10.851748589397262,31.5967825814,4.820232,48PXS,37.371755,0.000203
2019-02-08_03-45-17,103.17035103578527,9.85756950139428,104.17547576073804,10.854464395757088,34.5211370182,4.920259,48PUS,14.272237,0.0
2019-02-15_03-35-44,104.999726884972,8.052450962132822,105.99876650307654,9.046833369621034,32.0770819956,5.617772,48PWQ,2.444952,0.001553
2019-02-17_03-25-27,106.11421748908344,8.953454850958392,106.91356853559611,9.94884339433492,33.4493073715,6.011034,48PXR,5.244918,1.343367
2019-02-15_03-35-21,103.79424483765042,9.860345797419162,104.17725512940856,10.854464395757088,34.6955832656,6.479544,48PUS,25.161234,0.0
2019-02-13_03-45-27,103.17560615147838,8.953902438142253,104.03801619395512,9.950114248414968,32.7069932418,6.9308,48PUR,0.122564,0.0
2019-02-15_03-35-33,104.087272727106,8.95725437122164,105.0889503905584,9.9514972213457,33.3868014354,6.985348,48PVR,8.778116,0.000182
