AREA,YEAR,CLOUDY_PIXEL_PERCENTAGE
48PUR,2019,20.103306675675675
48PUR,2020,21.6502341971831
48PUR,2021,24.262450035714288
48PUR,2022,27.563347571428572
48PUR,2023,25.711176245283017
48PUR,2024,25.63266272413793
48PUS,2019,24.009158648648647
48PUS,2020,22.156661140350877
48PUS,2021,23.986176654545456
48PUS,2022,29.656260824561404
48PUS,2023,25.670571129629632
48PUS,2024,25.460025533333333
48PVQ,2019,23.768898896551722
48PVQ,2020,22.273352838709677
48PVQ,2021,26.038898800000002
48PVQ,2022,27.201552136363635
48PVQ,2023,27.132734437499998
48PVQ,2024,22.19523669230769
48PVR,2019,24.862668055555556
48PVR,2020,21.491469375
48PVR,2021,25.59642129032258
48PVR,2022,26.74755961904762
48PVR,2023,28.467217580645162
48PVR,2024,29.03437596875
48PVS,2019,25.72318731111111
48PVS,2020,20.38224803448276
48PVS,2021,25.110144272727272
48PVS,2022,33.65317424137931
48PVS,2023,27.20956744736842
48PVS,2024,26.243282
48PVT,2019,20.878472883720928
48PVT,2020,16.018021344827588
48PVT,2021,24.144413108108107
48PVT,2022,27.575942103448277
48PVT,2023,24.458898405405407
48PVT,2024,23.18182740625
48PWQ,2019,21.94980877142857
48PWQ,2020,22.463326833333333
48PWQ,2021,26.841014085714285
48PWQ,2022,26.92119988
48PWQ,2023,26.563172642857143
48PWQ,2024,21.207496250000002
48PWR,2019,27.51023558064516
48PWR,2020,22.966087896551727
48PWR,2021,26.91707896666667
48PWR,2022,32.21393611111111
48PWR,2023,30.502821519999998
48PWR,2024,29.569263954545455
48PWS,2019,25.203428923076924
48PWS,2020,20.543243424242426
48PWS,2021,22.88145952777778
48PWS,2022,35.50171976923077
48PWS,2023,28.048540583333335
48PWS,2024,27.506810692307695
48PWT,2019,24.866052955555556
48PWT,2020,16.81055748387097
48PWT,2021,21.989776657142855
48PWT,2022,33.198835424242425
48PWT,2023,25.293664888888888
48PWT,2024,25.464677454545452
48PXR,2019,25.505386384615385
48PXR,2020,25.975930049180327
48PXR,2021,26.068095627118645
48PXR,2022,29.14429676190476
48PXR,2023,31.20384332142857
48PXR,2024,25.863204779661018
48PXS,2019,24.673632768115944
48PXS,2020,22.308895800000002
48PXS,2021,24.93425059090909
48PXS,2022,33.14718072916667
48PXS,2023,29.840990843137256
48PXS,2024,26.589403224489796
48PXT,2019,23.674062978723402
48PXT,2020,16.50699544117647
48PXT,2021,21.54215511764706
48PXT,2022,31.015309147058822
48PXT,2023,22.687546
48PXT,2024,24.792002
