AREA,YEAR,GRANULE_MEAN_WV
48PUR,2019,
48PUR,2020,
48PUR,2021,
48PUR,2022,4.244426024390244
48PUR,2023,4.108759
48PUR,2024,3.6754334827586206
48PUS,2019,
48PUS,2020,
48PUS,2021,
48PUS,2022,4.13934746
48PUS,2023,3.9399764629629628
48PUS,2024,3.7481356333333333
48PVQ,2019,
48PVQ,2020,
48PVQ,2021,
48PVQ,2022,4.464158277777778
48PVQ,2023,4.5498061875
48PVQ,2024,4.25445476923077
48PVR,2019,
48PVR,2020,
48PVR,2021,
48PVR,2022,4.449883705882352
48PVR,2023,4.368145935483871
48PVR,2024,4.1063870937499996
48PVS,2019,
48PVS,2020,
48PVS,2021,
48PVS,2022,4.52538444
48PVS,2023,4.333809
48PVS,2024,4.060600027777777
48PVT,2019,
48PVT,2020,
48PVT,2021,
48PVT,2022,4.375875541666667
48PVT,2023,4.20045027027027
48PVT,2024,4.0519899375
48PWQ,2019,
48PWQ,2020,
48PWQ,2021,
48PWQ,2022,4.458695809523809
48PWQ,2023,4.421128678571429
48PWQ,2024,4.372651916666666
48PWR,2019,
48PWR,2020,
48PWR,2021,
48PWR,2022,4.4704652000000005
48PWR,2023,4.4979643199999995
48PWR,2024,4.204300727272727
48PWS,2019,
48PWS,2020,
48PWS,2021,
48PWS,2022,4.584030380952381
48PWS,2023,4.583423222222222
48PWS,2024,4.205512230769231
48PWT,2019,
48PWT,2020,
48PWT,2021,
48PWT,2022,4.540715071428571
48PWT,2023,4.358074944444444
48PWT,2024,4.056638848484848
48PXR,2019,
48PXR,2020,
48PXR,2021,
48PXR,2022,4.486901294117647
48PXR,2023,4.295768196428571
48PXR,2024,4.300592271186441
48PXS,2019,
48PXS,2020,
48PXS,2021,
48PXS,2022,4.239938925
48PXS,2023,4.335637823529412
48PXS,2024,4.103088918367347
48PXT,2019,
48PXT,2020,
48PXT,2021,
48PXT,2022,4.4600257999999995
48PXT,2023,4.149747916666667
48PXT,2024,3.8801597647058825
