AREA,YEAR,OZONE_VALUE
48PUR,2019,
48PUR,2020,
48PUR,2021,
48PUR,2022,257.78884202439025
48PUR,2023,263.699556245283
48PUR,2024,256.6151877931035
48PUS,2019,
48PUS,2020,
48PUS,2021,
48PUS,2022,260.63932282
48PUS,2023,260.9358780740741
48PUS,2024,256.7304724833333
48PVQ,2019,
48PVQ,2020,
48PVQ,2021,
48PVQ,2022,260.20394055555556
48PVQ,2023,262.07858234375
48PVQ,2024,256.05106511538463
48PVR,2019,
48PVR,2020,
48PVR,2021,
48PVR,2022,260.53078735294116
48PVR,2023,261.3276592258065
48PVR,2024,257.6846376875
48PVS,2019,
48PVS,2020,
48PVS,2021,
48PVS,2022,262.92690852
48PVS,2023,261.18522168421055
48PVS,2024,258.88901158333334
48PVT,2019,
48PVT,2020,
48PVT,2021,
48PVT,2022,264.34962870833334
48PVT,2023,263.73919413513516
48PVT,2024,261.0888935625
48PWQ,2019,
48PWQ,2020,
48PWQ,2021,
48PWQ,2022,259.5562284761905
48PWQ,2023,263.89640732142857
48PWQ,2024,256.852009625
48PWR,2019,
48PWR,2020,
48PWR,2021,
48PWR,2022,260.0905762
48PWR,2023,263.58589596
48PWR,2024,252.13255663636363
48PWS,2019,
48PWS,2020,
48PWS,2021,
48PWS,2022,261.15262119047617
48PWS,2023,261.6096294166666
48PWS,2024,257.8014818846154
48PWT,2019,
48PWT,2020,
48PWT,2021,
48PWT,2022,263.43621539285715
48PWT,2023,262.90274891666667
48PWT,2024,260.22388915151515
48PXR,2019,
48PXR,2020,
48PXR,2021,
48PXR,2022,258.7996443529412
48PXR,2023,262.26137183928574
48PXR,2024,257.8903920338983
48PXS,2019,
48PXS,2020,
48PXS,2021,
48PXS,2022,261.0493231
48PXS,2023,261.3740734509804
48PXS,2024,256.0730511020408
48PXT,2019,
48PXT,2020,
48PXT,2021,
48PXT,2022,263.32924933333334
48PXT,2023,263.5262605277778
48PXT,2024,257.72799570588234
