AREA,YEAR,SNOW_ICE_PERCENTAGE
48PUR,2019,0.0
48PUR,2020,0.0
48PUR,2021,0.0
48PUR,2022,0.0
48PUR,2023,0.0
48PUR,2024,0.0
48PUS,2019,0.14623897297297297
48PUS,2020,0.16896459649122805
48PUS,2021,0.12590887272727272
48PUS,2022,0.029405894736842103
48PUS,2023,0.0
48PUS,2024,0.0
48PVQ,2019,0.10520606896551724
48PVQ,2020,0.10306658064516129
48PVQ,2021,0.050495399999999996
48PVQ,2022,8.913636363636364e-05
48PVQ,2023,0.0
48PVQ,2024,0.0
48PVR,2019,0.0
48PVR,2020,0.0
48PVR,2021,0.0
48PVR,2022,0.0
48PVR,2023,0.0
48PVR,2024,0.0
48PVS,2019,0.15070673333333334
48PVS,2020,0.06322927586206897
48PVS,2021,0.0673230303030303
48PVS,2022,0.001966655172413793
48PVS,2023,0.0
48PVS,2024,0.0
48PVT,2019,0.0
48PVT,2020,0.0
48PVT,2021,0.0
48PVT,2022,0.0
48PVT,2023,0.0
48PVT,2024,0.0
48PWQ,2019,0.21283628571428573
48PWQ,2020,0.09261446666666666
48PWQ,2021,0.15977159999999999
48PWQ,2022,0.00016908
48PWQ,2023,0.0
48PWQ,2024,0.0
48PWR,2019,0.3208083870967742
48PWR,2020,0.33644206896551726
48PWR,2021,0.31428236666666665
48PWR,2022,0.001114777777777778
48PWR,2023,0.0
48PWR,2024,0.0
48PWS,2019,0.0
48PWS,2020,0.0
48PWS,2021,0.0
48PWS,2022,0.0
48PWS,2023,0.0
48PWS,2024,0.0
48PWT,2019,0.0
48PWT,2020,0.0
48PWT,2021,0.0
48PWT,2022,0.0
48PWT,2023,0.0
48PWT,2024,0.0
48PXR,2019,0.15748269230769232
48PXR,2020,0.08066198360655738
48PXR,2021,0.048126762711864404
48PXR,2022,0.0007158095238095238
48PXR,2023,0.0
48PXR,2024,0.0
48PXS,2019,0.13471321739130435
48PXS,2020,0.11610016666666666
48PXS,2021,0.1243395
48PXS,2022,0.012382583333333334
48PXS,2023,0.0
48PXS,2024,0.0
48PXT,2019,0.0
48PXT,2020,0.0
48PXT,2021,0.0
48PXT,2022,0.0
48PXT,2023,0.0
48PXT,2024,0.0
