AREA,YEAR,THIN_CIRRUS_PERCENTAGE
48PUR,2019,11.497489635135134
48PUR,2020,11.908297422535211
48PUR,2021,13.424195928571427
48PUR,2022,13.600201795918368
48PUR,2023,15.21432083018868
48PUR,2024,12.358347189655172
48PUS,2019,9.852150837837838
48PUS,2020,7.490103333333334
48PUS,2021,8.081708672727272
48PUS,2022,11.69136503508772
48PUS,2023,9.096373648148148
48PUS,2024,9.945286633333332
48PVQ,2019,11.15844327586207
48PVQ,2020,9.628389387096774
48PVQ,2021,14.514057166666667
48PVQ,2022,11.355789363636363
48PVQ,2023,11.463975
48PVQ,2024,10.093921923076921
48PVR,2019,10.822892944444444
48PVR,2020,10.4141686875
48PVR,2021,12.60890770967742
48PVR,2022,11.046812476190476
48PVR,2023,11.342030870967742
48PVR,2024,13.1644620625
48PVS,2019,8.932500311111111
48PVS,2020,7.703580793103448
48PVS,2021,9.906561545454545
48PVS,2022,12.76698048275862
48PVS,2023,9.619003078947367
48PVS,2024,9.821260638888889
48PVT,2019,4.543900046511627
48PVT,2020,5.042107103448275
48PVT,2021,5.4943265135135135
48PVT,2022,10.07920575862069
48PVT,2023,9.026499405405406
48PVT,2024,9.38402046875
48PWQ,2019,9.248440771428571
48PWQ,2020,10.943480233333334
48PWQ,2021,14.68053637142857
48PWQ,2022,12.285450720000002
48PWQ,2023,8.344845392857144
48PWQ,2024,7.3122174583333335
48PWR,2019,5.304524516129032
48PWR,2020,4.3638179310344825
48PWR,2021,5.902725666666667
48PWR,2022,8.952275444444446
48PWR,2023,7.1657042
48PWR,2024,4.796401818181818
48PWS,2019,5.050147
48PWS,2020,4.474002636363636
48PWS,2021,4.977744138888889
48PWS,2022,8.332698346153846
48PWS,2023,5.628351944444444
48PWS,2024,7.899868423076923
48PWT,2019,6.2597069111111105
48PWT,2020,5.00780506451613
48PWT,2021,4.765740885714285
48PWT,2022,10.070344393939394
48PWT,2023,9.28264225
48PWT,2024,8.577469727272728
48PXR,2019,8.449936000000001
48PXR,2020,9.53316506557377
48PXR,2021,8.46935013559322
48PXR,2022,8.177753571428571
48PXR,2023,11.829057267857142
48PXR,2024,6.465507779661017
48PXS,2019,4.488405681159421
48PXS,2020,4.02301545
48PXS,2021,5.1820826515151515
48PXS,2022,11.605996083333332
48PXS,2023,6.581062549019608
48PXS,2024,5.814737408163265
48PXT,2019,3.8131171489361706
48PXT,2020,5.0276530294117645
48PXT,2021,4.38559668627451
48PXT,2022,8.424976823529411
48PXT,2023,5.935101083333333
48PXT,2024,7.667638676470589
