AREA,YEAR,VEGETATION_PERCENTAGE
48PUR,2019,0.08497424324324325
48PUR,2020,0.09413383098591549
48PUR,2021,0.08167310714285714
48PUR,2022,0.0522535918367347
48PUR,2023,0.1004431320754717
48PUR,2024,0.0529175
48PUS,2019,16.63438089189189
48PUS,2020,15.316984456140352
48PUS,2021,16.10649610909091
48PUS,2022,15.142160298245615
48PUS,2023,15.282305333333333
48PUS,2024,15.039299616666666
48PVQ,2019,2.7689139310344824
48PVQ,2020,2.445253129032258
48PVQ,2021,2.553047233333333
48PVQ,2022,1.8999306363636363
48PVQ,2023,2.28370646875
48PVQ,2024,2.2172086923076924
48PVR,2019,4.975697138888889
48PVR,2020,5.77634784375
48PVR,2021,6.148599032258065
48PVR,2022,4.733566476190476
48PVR,2023,5.427589935483871
48PVR,2024,4.25223434375
48PVS,2019,19.20231462222222
48PVS,2020,18.853950655172415
48PVS,2021,20.08489906060606
48PVS,2022,19.324475413793106
48PVS,2023,19.61766465789474
48PVS,2024,18.292760972222222
48PVT,2019,32.49490106976744
48PVT,2020,29.061415724137934
48PVT,2021,31.998788594594593
48PVT,2022,34.04812124137931
48PVT,2023,33.816745702702704
48PVT,2024,28.45440009375
48PWQ,2019,1.9134239714285712
48PWQ,2020,1.9603121
48PWQ,2021,1.5915617999999998
48PWQ,2022,1.1357814
48PWQ,2023,1.52034175
48PWQ,2024,1.5152061666666665
48PWR,2019,22.448693161290322
48PWR,2020,24.17925393103448
48PWR,2021,24.987528033333334
48PWR,2022,22.040950388888888
48PWR,2023,22.8009644
48PWR,2024,21.677907545454545
48PWS,2019,38.99517571794872
48PWS,2020,44.157426848484846
48PWS,2021,44.285186527777775
48PWS,2022,35.76120376923077
48PWS,2023,38.8570355
48PWS,2024,43.43516015384615
48PWT,2019,31.325152355555556
48PWT,2020,32.45412125806452
48PWT,2021,34.70149528571429
48PWT,2022,31.10691245454546
48PWT,2023,32.82869697222222
48PWT,2024,33.37262121212121
48PXR,2019,12.161625353846153
48PXR,2020,10.067322590163934
48PXR,2021,12.394613423728813
48PXR,2022,9.828421476190476
48PXR,2023,11.218076696428572
48PXR,2024,10.065017
48PXS,2019,35.44339104347826
48PXS,2020,34.66922575
48PXS,2021,34.65947106060606
48PXS,2022,30.9021609375
48PXS,2023,33.95971149019608
48PXS,2024,32.80150120408163
48PXT,2019,46.572600808510636
48PXT,2020,51.50613638235294
48PXT,2021,48.00610368627451
48PXT,2022,43.980490264705885
48PXT,2023,48.20410827777778
48PXT,2024,44.255809
