AREA,YEAR,WATER_PERCENTAGE
48PUR,2019,79.73896485135134
48PUR,2020,78.22727370422535
48PUR,2021,75.63558175
48PUR,2022,72.34987948979592
48PUR,2023,74.1449237735849
48PUR,2024,74.27808010344827
48PUS,2019,53.61969143243243
48PUS,2020,56.618670982456145
48PUS,2021,53.87867845454546
48PUS,2022,50.48257659649123
48PUS,2023,53.90560653703704
48PUS,2024,54.06586255
48PVQ,2019,67.20274934482758
48PVQ,2020,68.93215867741935
48PVQ,2021,64.71727343333333
48PVQ,2022,65.05498363636364
48PVQ,2023,65.53096546875
48PVQ,2024,69.01191419230769
48PVR,2019,59.82225930555555
48PVR,2020,60.9907799375
48PVR,2021,57.323626322580644
48PVR,2022,58.582587238095236
48PVR,2023,56.87252535483871
48PVR,2024,56.7440151875
48PVS,2019,32.44401268888889
48PVS,2020,35.26753127586207
48PVS,2021,33.61197103030303
48PVS,2022,29.95696696551724
48PVS,2023,33.33276994736842
48PVS,2024,33.59974388888889
48PVT,2019,1.8192689302325582
48PVT,2020,1.4108334137931036
48PVT,2021,1.769635027027027
48PVT,2022,1.8360465862068964
48PVT,2023,2.222824081081081
48PVT,2024,1.88064065625
48PWQ,2019,71.17212717142857
48PWQ,2020,70.28814143333334
48PWQ,2021,66.87277811428572
48PWQ,2022,66.94540823999999
48PWQ,2023,67.79757339285715
48PWQ,2024,71.90283883333333
48PWR,2019,13.303514225806452
48PWR,2020,13.863260551724139
48PWR,2021,12.649679666666666
48PWR,2022,13.692150388888889
48PWR,2023,13.69067288
48PWR,2024,14.357884818181818
48PWS,2019,4.282854025641026
48PWS,2020,3.8651663636363636
48PWS,2021,4.393542305555555
48PWS,2022,3.216804923076923
48PWS,2023,5.121377166666666
48PWS,2024,3.9944145
48PWT,2019,3.6039367111111114
48PWT,2020,2.323612548387097
48PWT,2021,2.8832478857142854
48PWT,2022,3.084561393939394
48PWT,2023,4.465630583333333
48PWT,2024,3.607400606060606
48PXR,2019,49.651831430769235
48PXR,2020,48.6610491147541
48PXR,2021,46.48305783050847
48PXR,2022,48.6939995952381
48PXR,2023,45.775705
48PXR,2024,52.289552423728814
48PXS,2019,11.511309420289855
48PXS,2020,12.329661533333333
48PXS,2021,11.402509136363637
48PXS,2022,12.6303054375
48PXS,2023,11.225328098039215
48PXS,2024,14.26970712244898
48PXT,2019,1.3640144255319149
48PXT,2020,1.5491334117647058
48PXT,2021,1.5723873333333334
48PXT,2022,1.5754042941176472
48PXT,2023,1.913489138888889
48PXT,2024,1.3490825294117648
