PRODUCT_ID,GRANULE_MEAN_AOT,GRANULE_MEAN_WV,OZONE_VALUE,CLOUDY_PIXEL_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,MEAN_SOLAR_ZENITH_ANGLE,WATER_PERCENTAGE,SNOW_ICE_PERCENTAGE,_source_file,AREA
S2B_MSIL2A_20190106T032129_N0211_R118_T48PXT_20190106T090342,,,,0.294384,0.0,76.144463,39.6891339559,2.540956,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-34-55\20190106T032129_20190106T033238_T48PXT_metadata.json,48PXT
S2B_MSIL2A_20190106T032129_N0211_R118_T48PWT_20190106T090342,,,,0.229114,0.0,66.735429,40.163948526,4.904585,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-34-59\20190106T032129_20190106T033238_T48PWT_metadata.json,48PWT
S2B_MSIL2A_20190106T032129_N0211_R118_T48PVT_20190106T090342,,,,4.792753,0.000379,46.540064,40.6502769899,3.244485,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-02\20190106T032129_20190106T033238_T48PVT_metadata.json,48PVT
S2B_MSIL2A_20190106T032129_N0211_R118_T48PXS_20190106T090342,,,,1.753549,0.45546,75.331354,38.8914824954,5.151255,9e-06,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-10\20190106T032129_20190106T033238_T48PXS_metadata.json,48PXS
S2B_MSIL2A_20190106T032129_N0211_R118_T48PWS_20190106T090342,,,,2.419413,0.0,76.939338,39.3728311502,3.938752,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-13\20190106T032129_20190106T033238_T48PWS_metadata.json,48PWS
S2B_MSIL2A_20190106T032129_N0211_R118_T48PVS_20190106T090342,,,,2.547676,0.0,36.330587,39.8658928297,43.7821,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-16\20190106T032129_20190106T033238_T48PVS_metadata.json,48PVS
S2B_MSIL2A_20190106T032129_N0211_R118_T48PUS_20190106T090342,,,,4.339842,0.0,27.58241,40.3697976811,63.373739,7.2e-05,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-20\20190106T032129_20190106T033238_T48PUS_metadata.json,48PUS
S2B_MSIL2A_20190106T032129_N0211_R118_T48PXR_20190106T090342,,,,10.384824,0.0,28.229439,38.0979736296,40.111545,0.006094,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-24\20190106T032129_20190106T033238_T48PXR_metadata.json,48PXR
S2B_MSIL2A_20190106T032129_N0211_R118_T48PWR_20190106T090342,,,,10.046656,0.0,40.5835,38.5861424957,17.173514,0.008888,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-28\20190106T032129_20190106T033238_T48PWR_metadata.json,48PWR
S2B_MSIL2A_20190106T032129_N0211_R118_T48PVR_20190106T090342,,,,2.369972,0.000166,10.728034,39.0862143119,76.091933,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-31\20190106T032129_20190106T033238_T48PVR_metadata.json,48PVR
S2B_MSIL2A_20190106T032129_N0211_R118_T48PUR_20190106T090342,,,,0.034456,0.0,0.051673,39.5972918086,99.91281,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-34\20190106T032129_20190106T033238_T48PUR_metadata.json,48PUR
S2B_MSIL2A_20190106T032129_N0211_R118_T48PWQ_20190106T090342,,,,14.120272,0.0,1.997896,37.8031936448,78.669614,0.015312,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-42\20190106T032129_20190106T033238_T48PWQ_metadata.json,48PWQ
S2B_MSIL2A_20190106T032129_N0211_R118_T48PVQ_20190106T090342,,,,23.746742,0.000182,3.383536,38.3105697038,66.143388,0.010614,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-06_03-35-46\20190106T032129_20190106T033238_T48PVQ_metadata.json,48PVQ
S2A_MSIL2A_20190111T032111_N0211_R118_T48PXT_20190111T072711,,,,16.995956,8.755573,57.12716,39.4118030537,1.528072,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-11_03-34-52\20190111T032111_20190111T032721_T48PXT_metadata.json,48PXT
S2A_MSIL2A_20190111T032111_N0211_R118_T48PWT_20190111T072711,,,,43.751686,28.970584,31.412351,39.9028678414,1.292962,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-11_03-34-56\20190111T032111_20190111T032721_T48PWT_metadata.json,48PWT
S2A_MSIL2A_20190111T032111_N0211_R118_T48PVT_20190111T072711,,,,18.87178,10.462702,34.539786,40.4052281829,1.421906,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-11_03-34-59\20190111T032111_20190111T032721_T48PVT_metadata.json,48PVT
S2A_MSIL2A_20190111T032111_N0211_R118_T48PVS_20190111T072711,,,,35.949718,19.466853,28.165779,39.6309649402,20.384014,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-11_03-35-14\20190111T032111_20190111T032721_T48PVS_metadata.json,48PVS
S2A_MSIL2A_20190111T032111_N0211_R118_T48PUS_20190111T072711,,,,13.284651,6.018317,24.48418,40.150866603,57.936019,4.9e-05,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-11_03-35-17\20190111T032111_20190111T032721_T48PUS_metadata.json,48PUS
S2A_MSIL2A_20190111T032111_N0211_R118_T48PXR_20190111T072711,,,,43.765204,34.310445,13.961788,37.8403267224,27.967343,0.000623,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-11_03-35-22\20190111T032111_20190111T032721_T48PXR_metadata.json,48PXR
S2A_MSIL2A_20190111T032111_N0211_R118_T48PUR_20190111T072711,,,,29.275242,18.306173,0.045309,39.3890600764,70.676959,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-11_03-35-31\20190111T032111_20190111T032721_T48PUR_metadata.json,48PUR
S2B_MSIL2A_20190113T031059_N0211_R075_T48PXS_20190113T071314,,,,1.021568,0.007134,47.204593,39.8780017937,28.152686,0.00099,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-13_03-25-15\20190113T031059_20190113T031703_T48PXS_metadata.json,48PXS
S2B_MSIL2A_20190113T031059_N0211_R075_T48PXR_20190113T071314,,,,0.059224,0.014199,7.601288,39.1230103629,83.617955,0.001624,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-13_03-25-30\20190113T031059_20190113T031703_T48PXR_metadata.json,48PXR
S2A_MSIL2A_20190114T033101_N0211_R018_T48PUS_20190114T070701,,,,9.16872,0.000278,11.262766,38.5040756243,73.33352,0.057276,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-14_03-45-12\20190114T033101_20190114T033726_T48PUS_metadata.json,48PUS
S2A_MSIL2A_20190114T033101_N0211_R018_T48PUR_20190114T070701,,,,0.499485,0.0,0.174411,37.7251466043,99.314547,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-14_03-45-27\20190114T033101_20190114T033726_T48PUR_metadata.json,48PUR
S2B_MSIL2A_20190116T032059_N0211_R118_T48PXT_20190116T070337,,,,17.816045,8.883198,57.781243,38.9594107849,1.840698,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-16_03-34-56\20190116T032059_20190116T032605_T48PXT_metadata.json,48PXT
S2B_MSIL2A_20190116T032059_N0211_R118_T48PWT_20190116T070337,,,,35.59536,4.00005,20.702399,39.4674651954,1.307604,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-16_03-35-00\20190116T032059_20190116T032605_T48PWT_metadata.json,48PWT
S2B_MSIL2A_20190116T032059_N0211_R118_T48PXS_20190116T070337,,,,33.260892,16.592816,45.082518,38.1821197979,2.054191,0.005057,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-16_03-35-11\20190116T032059_20190116T032605_T48PXS_metadata.json,48PXS
S2B_MSIL2A_20190119T033049_N0211_R018_T48PUS_20190119T072902,,,,31.165019,30.962583,14.805646,37.9739206236,51.135415,7.7e-05,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-19_03-45-16\20190119T033049_20190119T034257_T48PUS_metadata.json,48PUS
S2A_MSIL2A_20190121T032041_N0211_R118_T48PXT_20190121T070422,,,,46.047761,35.567406,36.073279,38.368976016,1.013697,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-21_03-34-53\20190121T032041_20190121T032647_T48PXT_metadata.json,48PXT
S2A_MSIL2A_20190121T032041_N0211_R118_T48PWT_20190121T070422,,,,35.848591,9.341744,28.208211,38.8955616702,1.956769,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-21_03-34-57\20190121T032041_20190121T032647_T48PWT_metadata.json,48PWT
S2A_MSIL2A_20190121T032041_N0211_R118_T48PVT_20190121T070422,,,,28.083391,7.072818,18.458398,39.4330759918,1.431515,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-21_03-35-00\20190121T032041_20190121T032647_T48PVT_metadata.json,48PVT
S2A_MSIL2A_20190121T032041_N0211_R118_T48PXS_20190121T070422,,,,35.290972,16.237044,40.013155,37.604010289,2.325906,0.001935,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-21_03-35-08\20190121T032041_20190121T032647_T48PXS_metadata.json,48PXS
S2A_MSIL2A_20190121T032041_N0211_R118_T48PWS_20190121T070422,,,,12.557716,6.045182,68.210483,38.138000394,2.716242,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-21_03-35-11\20190121T032041_20190121T032647_T48PWS_metadata.json,48PWS
S2A_MSIL2A_20190121T032041_N0211_R118_T48PVS_20190121T070422,,,,18.752217,15.246074,26.967889,38.6830507513,30.549613,0.0,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-21_03-35-15\20190121T032041_20190121T032647_T48PVS_metadata.json,48PVS
S2A_MSIL2A_20190121T032041_N0211_R118_T48PUS_20190121T070422,,,,46.738236,24.224176,12.863654,39.2382161868,28.023064,0.07072,dbscl-sentinel-2-2019\dbscl-sentinel-2_2019-01\S2_2019-01-21_03-35-18\20190121T032041_20190121T032647_T48PUS_metadata.json,48PUS
