province,date,precipitation
Soc Trang,2019-01-01,8.083463394358027
Soc Trang,2019-01-02,7.31312430875851
Soc Trang,2019-01-03,2.1285733465557914
Soc Trang,2019-01-04,0.3991260002439038
Soc Trang,2019-01-05,0
Soc Trang,2019-01-06,0
Soc Trang,2019-01-07,0
Soc Trang,2019-01-08,0
Soc Trang,2019-01-09,0
Soc Trang,2019-01-10,0
Soc Trang,2019-01-11,0
Soc Trang,2019-01-12,0
Soc Trang,2019-01-13,0
Soc Trang,2019-01-14,0
Soc Trang,2019-01-15,0.06803541904681983
Soc Trang,2019-01-16,0
Soc Trang,2019-01-17,0.06944819543472289
Soc Trang,2019-01-18,0
Soc Trang,2019-01-19,0
Soc Trang,2019-01-20,0
Soc Trang,2019-01-21,0
Soc Trang,2019-01-22,0
Soc Trang,2019-01-23,2.608901449335103
Soc Trang,2019-01-24,0
Soc Trang,2019-01-25,0
Soc Trang,2019-01-26,0
Soc Trang,2019-01-27,0
Soc Trang,2019-01-28,0
Soc Trang,2019-01-29,0
Soc Trang,2019-01-30,0
Soc Trang,2019-01-31,0
Soc Trang,2019-02-01,0
Soc Trang,2019-02-02,0
Soc Trang,2019-02-03,0
Soc Trang,2019-02-04,0
Soc Trang,2019-02-05,0
Soc Trang,2019-02-06,0
Soc Trang,2019-02-07,0
Soc Trang,2019-02-08,0
Soc Trang,2019-02-09,0
Soc Trang,2019-02-10,0.2755895593380521
Soc Trang,2019-02-11,0.014853766427131987
Soc Trang,2019-02-12,0
Soc Trang,2019-02-13,0
Soc Trang,2019-02-14,0
Soc Trang,2019-02-15,0
Soc Trang,2019-02-16,0
Soc Trang,2019-02-17,0
Soc Trang,2019-02-18,0
Soc Trang,2019-02-19,0
Soc Trang,2019-02-20,0.5929163462930948
Soc Trang,2019-02-21,0
Soc Trang,2019-02-22,1.132344960659758
Soc Trang,2019-02-23,0
Soc Trang,2019-02-24,0
Soc Trang,2019-02-25,0
Soc Trang,2019-02-26,0.04996765073508748
Soc Trang,2019-02-27,0
Soc Trang,2019-02-28,0
Soc Trang,2019-03-01,2.103325639419536
Soc Trang,2019-03-02,0
Soc Trang,2019-03-03,0
Soc Trang,2019-03-04,0
Soc Trang,2019-03-05,0
Soc Trang,2019-03-06,0
Soc Trang,2019-03-07,0
Soc Trang,2019-03-08,0
Soc Trang,2019-03-09,1.7685695222934672
Soc Trang,2019-03-10,0
Soc Trang,2019-03-11,0
Soc Trang,2019-03-12,0
Soc Trang,2019-03-13,0
Soc Trang,2019-03-14,0
Soc Trang,2019-03-15,0.034148033196721946
Soc Trang,2019-03-16,0
Soc Trang,2019-03-17,0
Soc Trang,2019-03-18,0
Soc Trang,2019-03-19,0
Soc Trang,2019-03-20,0
Soc Trang,2019-03-21,0.022037666640820505
Soc Trang,2019-03-22,0
Soc Trang,2019-03-23,0.4511166028637211
Soc Trang,2019-03-24,0.07895962831242131
Soc Trang,2019-03-25,0
Soc Trang,2019-03-26,0.1970780181018647
Soc Trang,2019-03-27,0
Soc Trang,2019-03-28,0
Soc Trang,2019-03-29,0
Soc Trang,2019-03-30,0.2098024253580938
Soc Trang,2019-03-31,0
Soc Trang,2019-04-01,0.5572986868170828
Soc Trang,2019-04-02,0
Soc Trang,2019-04-03,0
Soc Trang,2019-04-04,0.9912671489585657
Soc Trang,2019-04-05,0
Soc Trang,2019-04-06,0
Soc Trang,2019-04-07,0
Soc Trang,2019-04-08,0
Soc Trang,2019-04-09,0
Soc Trang,2019-04-10,0
Soc Trang,2019-04-11,0
Soc Trang,2019-04-12,0.027019125685020313
Soc Trang,2019-04-13,0
Soc Trang,2019-04-14,0
Soc Trang,2019-04-15,0
Soc Trang,2019-04-16,0
Soc Trang,2019-04-17,0
Soc Trang,2019-04-18,0
Soc Trang,2019-04-19,0
Soc Trang,2019-04-20,0.0213331769243791
Soc Trang,2019-04-21,0.0009888522185763444
Soc Trang,2019-04-22,0
Soc Trang,2019-04-23,2.4458288212604513
Soc Trang,2019-04-24,0.0227297370000716
Soc Trang,2019-04-25,0.10729469775522128
Soc Trang,2019-04-26,0
Soc Trang,2019-04-27,6.090001535893124
Soc Trang,2019-04-28,16.47663554067057
Soc Trang,2019-04-29,0
Soc Trang,2019-04-30,2.391058752282351
Soc Trang,2019-05-01,0.0533960541808828
Soc Trang,2019-05-02,23.606645982437726
Soc Trang,2019-05-03,2.7582281442129095
Soc Trang,2019-05-04,1.6747290756230915
Soc Trang,2019-05-05,4.000812478647622
Soc Trang,2019-05-06,4.566112785412365
Soc Trang,2019-05-07,5.866465439436675
Soc Trang,2019-05-08,3.2904733667872232
Soc Trang,2019-05-09,10.632615452068968
Soc Trang,2019-05-10,11.004027628847263
Soc Trang,2019-05-11,8.638899066502761
Soc Trang,2019-05-12,11.644897467669352
Soc Trang,2019-05-13,1.9170235102283681
Soc Trang,2019-05-14,1.9584364141665327
Soc Trang,2019-05-15,0.29093065147052344
Soc Trang,2019-05-16,0.44599033202920685
Soc Trang,2019-05-17,1.8339200289804487
Soc Trang,2019-05-18,17.266451354756057
Soc Trang,2019-05-19,1.0714881143504986
Soc Trang,2019-05-20,3.382297968527155
Soc Trang,2019-05-21,8.126275863887308
Soc Trang,2019-05-22,15.738553599899872
Soc Trang,2019-05-23,0.4202039985764448
Soc Trang,2019-05-24,0.7659348188293558
Soc Trang,2019-05-25,12.58931555092567
Soc Trang,2019-05-26,11.08876503311298
Soc Trang,2019-05-27,8.50114933738069
Soc Trang,2019-05-28,5.516066356234648
Soc Trang,2019-05-29,7.45939392073854
Soc Trang,2019-05-30,3.3558485065606116
Soc Trang,2019-05-31,0.18008084403224184
Soc Trang,2019-06-01,0
Soc Trang,2019-06-02,3.1530231784079468
Soc Trang,2019-06-03,17.28706352370801
Soc Trang,2019-06-04,9.85659719353235
Soc Trang,2019-06-05,12.593494393283237
Soc Trang,2019-06-06,15.530719507446376
Soc Trang,2019-06-07,5.120038613539091
Soc Trang,2019-06-08,10.547523396224895
Soc Trang,2019-06-09,18.095753386876098
Soc Trang,2019-06-10,17.646304888199776
Soc Trang,2019-06-11,7.59447003110446
Soc Trang,2019-06-12,12.289993051781106
Soc Trang,2019-06-13,10.471856772556094
Soc Trang,2019-06-14,7.601555089397578
Soc Trang,2019-06-15,7.375510996903875
Soc Trang,2019-06-16,26.76888527389649
Soc Trang,2019-06-17,2.3798814199783753
Soc Trang,2019-06-18,0
Soc Trang,2019-06-19,0.8268084874175068
Soc Trang,2019-06-20,25.019723896292668
Soc Trang,2019-06-21,21.477042604229766
Soc Trang,2019-06-22,18.133974846884705
Soc Trang,2019-06-23,1.9832037644759108
Soc Trang,2019-06-24,9.131694269283011
Soc Trang,2019-06-25,11.57510611087512
Soc Trang,2019-06-26,1.8634957688966702
Soc Trang,2019-06-27,0.22553245938128919
Soc Trang,2019-06-28,9.374595866836518
Soc Trang,2019-06-29,0.20325937183395895
Soc Trang,2019-06-30,7.256615894015818
Soc Trang,2019-07-01,7.871537617354007
Soc Trang,2019-07-02,33.2451262587877
Soc Trang,2019-07-03,12.972439659497526
Soc Trang,2019-07-04,13.856841355324514
Soc Trang,2019-07-05,10.614840213956967
Soc Trang,2019-07-06,1.8484888191241053
Soc Trang,2019-07-07,4.5922034623518515
Soc Trang,2019-07-08,1.3961961306299744
Soc Trang,2019-07-09,2.0160019293565394
Soc Trang,2019-07-10,0
Soc Trang,2019-07-11,4.416017302299758
Soc Trang,2019-07-12,0.07441517980133286
Soc Trang,2019-07-13,5.254999721356318
Soc Trang,2019-07-14,0.6569603143640826
Soc Trang,2019-07-15,6.663900128418307
Soc Trang,2019-07-16,13.215294916818422
Soc Trang,2019-07-17,7.965968642404415
Soc Trang,2019-07-18,6.537099512796112
Soc Trang,2019-07-19,1.3673451220454147
Soc Trang,2019-07-20,0.9828816830032729
Soc Trang,2019-07-21,0
Soc Trang,2019-07-22,11.226455572647074
Soc Trang,2019-07-23,8.871117406905498
Soc Trang,2019-07-24,19.158991503217223
Soc Trang,2019-07-25,5.514609645005258
Soc Trang,2019-07-26,0.1861333964818597
Soc Trang,2019-07-27,10.864325461151955
Soc Trang,2019-07-28,11.706651094872152
Soc Trang,2019-07-29,8.428378421838191
Soc Trang,2019-07-30,4.442032451893916
Soc Trang,2019-07-31,14.385538416593938
Soc Trang,2019-08-01,13.860863699765614
Soc Trang,2019-08-02,32.14227144636418
Soc Trang,2019-08-03,8.360752553165863
Soc Trang,2019-08-04,15.58579117661757
Soc Trang,2019-08-05,16.786288465576057
Soc Trang,2019-08-06,26.783695918977784
Soc Trang,2019-08-07,15.107930226772094
Soc Trang,2019-08-08,22.92140795031519
Soc Trang,2019-08-09,2.1474843306418463
Soc Trang,2019-08-10,0
Soc Trang,2019-08-11,0
Soc Trang,2019-08-12,0
Soc Trang,2019-08-13,0.3702645629666949
Soc Trang,2019-08-14,3.3858003873947773
Soc Trang,2019-08-15,1.9596674783603065
Soc Trang,2019-08-16,0.37123425381490516
Soc Trang,2019-08-17,0.12401063941775237
Soc Trang,2019-08-18,0
Soc Trang,2019-08-19,0
Soc Trang,2019-08-20,17.789710768458512
Soc Trang,2019-08-21,3.201077096640054
Soc Trang,2019-08-22,9.57786745459332
Soc Trang,2019-08-23,4.777941654980055
Soc Trang,2019-08-24,1.3266391502087667
Soc Trang,2019-08-25,28.701160271037143
Soc Trang,2019-08-26,5.152579182149397
Soc Trang,2019-08-27,0
Soc Trang,2019-08-28,27.35519767947114
Soc Trang,2019-08-29,36.522742988969306
Soc Trang,2019-08-30,6.136019579612066
Soc Trang,2019-08-31,3.1881672480459327
Soc Trang,2019-09-01,4.738266327289941
Soc Trang,2019-09-02,18.103753958105415
Soc Trang,2019-09-03,1.0378833667372926
Soc Trang,2019-09-04,18.354372814369686
Soc Trang,2019-09-05,1.0178300123480666
Soc Trang,2019-09-06,0
Soc Trang,2019-09-07,8.831117221173303
Soc Trang,2019-09-08,11.4979660690209
Soc Trang,2019-09-09,0.6001158691836423
Soc Trang,2019-09-10,0.5451200633829906
Soc Trang,2019-09-11,0.06974302360049196
Soc Trang,2019-09-12,0.3615190046883063
Soc Trang,2019-09-13,37.92864241324933
Soc Trang,2019-09-14,6.490148813391256
Soc Trang,2019-09-15,3.6195364668128196
Soc Trang,2019-09-16,22.174161934357084
Soc Trang,2019-09-17,24.35366392508995
Soc Trang,2019-09-18,11.791615781707998
Soc Trang,2019-09-19,0
